Company/Brand,Stage,Amount($),HeadQuarter,What it does,Sector,Funded Year,Founded,Investor
Predictivu,Seed,1500000,Gurugram,"Predictivu's ai-enabled dashboard integrated with india's largest, proprietary, weekly consumer purchase data, market intelligence and web insights",Management consulting,2021,2020,Kunal sarkar
Sterling accuris wellness,Undisclosed,30000000,Ahmedabad,"Sterling accuris wellness private limited is a hospital & health care company based out of 3-floor heritage complex, nr.",Healthcare,2021,2016,Morgan stanley private equity asia
Bijnis,Series B,30000000,New delhi,Bijnis is revolutionizing the way manufacturers operate and scale their factories by digitizing their demand/supply/captial/operations.,B2b startup,2021,2015,Westbridge capital
Capital float,Undisclosed,50000000,Bangalore,India's leading bnpl and digital credit platform serving millions of aspirational individuals.,Financial services,2021,2013,Lightrock india
Manch technologies,Series B,1000000,Bangalore,"A single click work flow e-sign solution to conduct speedy, accurate, efficient transactions through a “cash-less, presence-less, paperless” framework.",Information technology & services,2021,2017,Bharat inclusion
Sochcast,Undisclosed,0, bangalore ,Sochcast is an audio experiences company that give the listener and creators an immersive audio experience,"Online media	#ref!",2021,2020,Vinners
Glamyo health,Series A,3000000,New delhi,Glamyo health is an advanced healthcare co delivering a seamless experience for elective surgeries.,Healthcare,2021,2019,Ananta capital
Cashbook,Seed,2300000,Gurugram,"Cashbook is a digital record-keeping app using which businesses can add entries, segregate records, and find overall balance instantly.",Fintech,2021,2020,Jam
The money club,Series B,1700000,Noida,The money club is a mobile platform for peer to peer chit funds.,Financial services,2021,2016,Sosv
Superzop,Series A,4000000,Mumbai,Superzop is india's first and only vernacular b2b grocery e-commerce platform that is transforming the unorganized retail sector.,Retail,2021,2016,Incofin’s india progress fund
Zypp electric,Series A,7000000,Gurugram,"Zypp is working to convert all deliveries for e-commerce, grocery, medicine and food vertical to go electric with e-scooter sharing app.",Logistics & supply chain,2021,2017,9unicorns
Alpha coach,Undisclosed,1200000,Mumbai,One to one personal fitness coaching,Professional training & coaching,2021,2021,Jani ventures inc
Vro hospitality,Series A,3000000,Bangalore,One of the fastest-growing hospitality companies based out of bangalore.,Hospitality,2021,2018,Creedcap asia advisors
Bytexl,Undisclosed,200000,Hyderabad,"Bytexl is the first-ever, one-stop-shop for self-learning course work and guided training – preparing a new generation of coders for the workforce.",E-learning,2021,2019,Joseph joy
Leena ai,Series B,30000000,Gurugram,Ai to help enterprises transform the employee experience.,Computer software,2021,2015,Bessemer venture partners
Cars24,Series D,450000000,Gurugram,"Cars24 is proud to be a tech-first organisation, looking to make inroads into the global auto-tech market in groundbreaking ways.",Automotive,2021,2015,Dst global
Klub,Debt,2000000,Bangalore,"A team of fintech, investment banking, venture capital, and technology veterans who bring a founder-first mindset.",Financial services,2021,2019,Trifecta capital
Bluepad,Seed,200000,Bangalore,A one-stop solution for aggregated content  in vernacular languages,Online media,2021,2020,Titan capital
Flobiz,Series B,31000000,Bangalore,Neobank for growing smbs. simplify gst billing & accounting needs with mybillbook app.,Information technology & services,2021,2019,Sequoia capital india
